Category,Diagnosis,Symptoms
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Hypertension,"Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Strep Throat,"Chills, Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Nausea"
Chronic,Hypertension,"Body aches, Dizziness, Fever, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Urological,Kidney Stone,"Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Headache, Nausea, Stomach cramps, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Urological,Kidney Stone,"Chills, Dizziness, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Runny nose, Sore throat"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Dizziness, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Loss of appetite, Nausea, Runny nose, Sore throat"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Shortness of breath, Wheezing"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fever, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Inability to bear weight, Severe leg pain, Swelling, Visible deformity, Weakness"
Infectious,Strep Throat,"Dizziness, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Strep Throat,"Fever, Headache, Loss of appetite, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Neurological,Migraine,"Body aches, Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,COVID-19,"Chills, Dizziness, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Urological,Kidney Stone,"Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Headache, High fever, Runny nose, Sore throat, Weakness"
Neurological,Migraine,"Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Malaise, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Urological,Kidney Stone,"Loss of appetite, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Fever, Shortness of breath, Weakness, Wheezing"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Hypertension,"Body aches, Chills, Dizziness, Fatigue, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever, Loss of appetite"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Inability to bear weight, Loss of appetite, Malaise, Severe leg pain, Swelling, Visible deformity"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Headache, Malaise, Shortness of breath, Weakness, Wheezing"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Frequent urination, Malaise, Nausea, Pain or burning on urination, Pelvic pain"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Nausea, Stomach cramps, Vomiting"
Chronic,Hypertension,"Dizziness, Headache, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath"
Neurological,Migraine,"Loss of appetite, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity, Weakness"
Infectious,COVID-19,"Body aches, Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath, Weakness"
Neurological,Migraine,"Body aches, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Strep Throat,"Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Runny nose, Sore throat"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Fever, Loss of appetite, Shortness of breath, Wheezing"
Infectious,Strep Throat,"Fever, Headache, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Malaise, Nausea, Swollen joints"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Headache, Nausea, Stomach cramps, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Strep Throat,"Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Fever, Itchy, watery eyes, Loss of appetite, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Nausea"
Infectious,COVID-19,"Body aches, Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Malaise, Shortness of breath, Wheezing"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Headache, Inability to bear weight, Malaise, Nausea, Swelling, Tenderness to touch"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Urological,Kidney Stone,"Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Chills, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain, Weakness"
Chronic,Hypertension,"Body aches, Dizziness, Headache, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Urological,Kidney Stone,"Dizziness, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Neurological,Migraine,"Chills, Dizziness, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Hypertension,"Dizziness, Headache, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Fatigue, Inability to bear weight, Swelling, Tenderness to touch"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Strep Throat,"Fatigue, Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Neurological,Migraine,"Dizziness, Fatigue, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Strep Throat,"Dizziness, Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Hypertension,"Body aches, Dizziness, Fatigue, Fever, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Malaise"
Urological,Kidney Stone,"Dizziness, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Nausea, Runny nose, Sore throat"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Shortness of breath, Wheezing"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Fever, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Urological,Kidney Stone,"Body aches, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Fever, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Fatigue, High fever, Loss of appetite, Runny nose, Sore throat"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Fatigue, Shortness of breath, Wheezing"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Infectious,Strep Throat,"Chills, Fever, Headache, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Fever, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Frequent urination, Headache, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fatigue, Fever, High fever, Runny nose, Sore throat"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Chills, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Infectious,Influenza (Flu),"Body aches, Dry cough, Headache, High fever, Nausea, Runny nose, Sore throat, Weakness"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Headache, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Infectious,COVID-19,"Body aches, Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Malaise, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Malaise, Nausea, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Headache, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Neurological,Migraine,"Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Fever, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Infectious,Strep Throat,"Body aches, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Fatigue, Shortness of breath, Wheezing"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Fever, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Urological,Kidney Stone,"Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Headache, Inability to bear weight, Swelling, Tenderness to touch, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Neurological,Migraine,"Fatigue, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Shortness of breath, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Neurological,Migraine,"Dizziness, Fever, Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Neurological,Migraine,"Headache, Loss of appetite, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Headache, Itchy, watery eyes, Loss of appetite, Nasal congestion, Runny nose, Sneezing, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Headache, Shortness of breath, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Neurological,Migraine,"Body aches, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Hypertension,"Dizziness, Fatigue, Fever, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Fever, High fever, Runny nose, Sore throat"
Infectious,Strep Throat,"Dizziness, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of appetite, Loss of taste or smell, Shortness of breath, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Inability to bear weight, Severe leg pain, Swelling, Visible deformity, Weakness"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss"
Urological,Kidney Stone,"Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Headache, Inability to bear weight, Swelling, Tenderness to touch"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Fever, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Strep Throat,"Dizziness, Fever, Malaise, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Neurological,Migraine,"Fever, Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Loss of appetite, Nasal congestion, Runny nose, Sneezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Shortness of breath, Wheezing"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Strep Throat,"Chills, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Loss of appetite, Shortness of breath, Wheezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain, Weakness"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
