Disease,Symptoms
Bacterial Pneumonia,"productive cough, confusion, shortness of breath, high fever"
Gastroenteritis,"nausea, headache, abdominal cramps, diarrhea, vomiting"
Seasonal Flu,"headache, chills, high fever, fatigue, severe body aches"
Allergic Rhinitis,"itchy eyes, sneezing, mild headache, nasal congestion, sore throat, watery eyes"
Migraine,"nausea, aura, sensitivity to sound, sensitivity to light, severe throbbing headache"
Seasonal Flu,"severe body aches, high fever, headache, fatigue, chills"
Minor Sprain/Strain,"localized pain, limited range of motion, tenderness"
Dehydration,"dizziness, fatigue, headache, dry mouth, thirst"
Seasonal Flu,"fatigue, chills, headache, high fever, severe body aches, diarrhea"
Dehydration,"thirst, fatigue, infrequent urination, dark urine, dry mouth, confusion"
Minor Sprain/Strain,"localized pain, tenderness, cramping, limited range of motion, swelling"
Common Cold,"runny nose, watery eyes, sore throat, cough, sneezing"
Dehydration,"thirst, dizziness, dry mouth, dark urine, fatigue"
Migraine,"severe throbbing headache, sensitivity to sound, neck pain, vomiting, sensitivity to light, aura, nausea"
Minor Sprain/Strain,"swelling, cramping, limited range of motion, localized pain, muscle stiffness"
Bacterial Pneumonia,"nausea, shortness of breath, productive cough, shaking chills, chest pain, fatigue, confusion"
Common Cold,"cough, sneezing, sore throat, runny nose"
Dehydration,"dry mouth, dizziness, thirst, fatigue, dark urine"
Strep Throat,"tiny red spots on roof of mouth, fever, body aches, sudden sore throat, pain when swallowing"
Strep Throat,"pain when swallowing, fever, tiny red spots on roof of mouth, stomach ache"
Seasonal Flu,"sore throat, severe body aches, nausea, high fever, cough, fatigue, headache"
Seasonal Flu,"nausea, chills, fatigue, cough, severe body aches, high fever"
Tension Headache,"scalp tenderness, dull, aching head pain, tightness across forehead, mild sensitivity to light"
Tension Headache,"scalp tenderness, shoulder pain, neck stiffness, dull, aching head pain, mild sensitivity to light, tightness across forehead"
Gastroenteritis,"nausea, diarrhea, vomiting, low-grade fever"
Bacterial Pneumonia,"chest pain, shaking chills, high fever, shortness of breath"
Dehydration,"dizziness, dry mouth, thirst, infrequent urination, fatigue"
Strep Throat,"tiny red spots on roof of mouth, fever, stomach ache, sudden sore throat"
Strep Throat,"tiny red spots on roof of mouth, sudden sore throat, fever, body aches, pain when swallowing, rash"
Allergic Rhinitis,"itchy eyes, watery eyes, cough, sneezing, runny nose"
Tension Headache,"scalp tenderness, neck stiffness, dull, aching head pain, tightness across forehead"
Minor Sprain/Strain,"limited range of motion, tenderness, swelling, localized pain"
Minor Sprain/Strain,"swelling, localized pain, tenderness, bruising, cramping, limited range of motion"
Bacterial Pneumonia,"high fever, shaking chills, productive cough, chest pain, shortness of breath"
Common Cold,"cough, sneezing, runny nose, sore throat"
Migraine,"sensitivity to light, sensitivity to sound, nausea, severe throbbing headache"
Allergic Rhinitis,"sneezing, itchy eyes, cough, runny nose, watery eyes"
Dehydration,"fatigue, dizziness, dry mouth, thirst"
Bacterial Pneumonia,"chest pain, shaking chills, shortness of breath, sweating, nausea, high fever"
Minor Sprain/Strain,"limited range of motion, bruising, cramping, localized pain, tenderness, muscle stiffness, swelling"
Strep Throat,"sudden sore throat, stomach ache, headache, tiny red spots on roof of mouth, pain when swallowing, fever, body aches"
Allergic Rhinitis,"nasal congestion, itchy eyes, mild headache, watery eyes, sore throat, runny nose, sneezing"
Common Cold,"sneezing, runny nose, sore throat, cough"
Strep Throat,"body aches, stomach ache, tiny red spots on roof of mouth, sudden sore throat, headache, fever"
Seasonal Flu,"fatigue, high fever, cough, severe body aches, chills, headache"
Common Cold,"fatigue, cough, watery eyes, sore throat, runny nose"
Dehydration,"dizziness, thirst, dry mouth, infrequent urination, fatigue"
Minor Sprain/Strain,"limited range of motion, swelling, localized pain"
Minor Sprain/Strain,"tenderness, localized pain, limited range of motion, muscle stiffness"
Allergic Rhinitis,"itchy eyes, watery eyes, runny nose"
Seasonal Flu,"chills, severe body aches, high fever, headache"
Seasonal Flu,"chills, severe body aches, nausea, sore throat, cough, high fever"
Dehydration,"dry mouth, dizziness, thirst"
Migraine,"sensitivity to sound, vision changes, sensitivity to light, nausea, aura, neck pain, severe throbbing headache"
Gastroenteritis,"vomiting, abdominal cramps, diarrhea, headache"
Dehydration,"confusion, headache, dry mouth, thirst, dizziness, dark urine"
Bacterial Pneumonia,"shaking chills, confusion, fatigue, productive cough, shortness of breath, chest pain, nausea"
Bacterial Pneumonia,"shaking chills, chest pain, high fever, confusion, productive cough, shortness of breath"
Minor Sprain/Strain,"muscle stiffness, swelling, bruising, cramping, limited range of motion, tenderness"
Seasonal Flu,"high fever, severe body aches, headache, fatigue, chills"
Common Cold,"fatigue, low fever, sneezing, runny nose, sore throat"
Tension Headache,"dull, aching head pain, mild sensitivity to light, neck stiffness, shoulder pain, tightness across forehead, scalp tenderness"
Tension Headache,"tightness across forehead, scalp tenderness, shoulder pain, dull, aching head pain"
Strep Throat,"sudden sore throat, pain when swallowing, tiny red spots on roof of mouth, fever"
Strep Throat,"fever, tiny red spots on roof of mouth, sudden sore throat"
Tension Headache,"tightness across forehead, shoulder pain, dull, aching head pain, scalp tenderness, neck stiffness"
Seasonal Flu,"nausea, chills, severe body aches, diarrhea, headache, high fever, fatigue"
Dehydration,"thirst, headache, fatigue, dizziness"
Bacterial Pneumonia,"sweating, chest pain, high fever, nausea, shortness of breath, productive cough, shaking chills"
Migraine,"neck pain, severe throbbing headache, sensitivity to light, nausea, sensitivity to sound"
Common Cold,"low fever, sore throat, watery eyes, sneezing, runny nose, mild headache"
Tension Headache,"scalp tenderness, neck stiffness, mild sensitivity to light, tightness across forehead, dull, aching head pain"
Minor Sprain/Strain,"swelling, limited range of motion, localized pain"
Strep Throat,"body aches, headache, sudden sore throat, stomach ache, pain when swallowing, fever, tiny red spots on roof of mouth"
Gastroenteritis,"abdominal cramps, diarrhea, low-grade fever, vomiting"
Gastroenteritis,"nausea, fatigue, diarrhea, headache, loss of appetite, abdominal cramps"
Migraine,"sensitivity to light, sensitivity to sound, severe throbbing headache, neck pain, vomiting"
Migraine,"severe throbbing headache, sensitivity to light, aura, sensitivity to sound"
Common Cold,"cough, sore throat, low fever, runny nose, sneezing"
Minor Sprain/Strain,"limited range of motion, muscle stiffness, tenderness, bruising, localized pain, swelling"
Dehydration,"dry mouth, thirst, fatigue, headache, dizziness, dark urine"
Strep Throat,"rash, headache, fever, sudden sore throat, pain when swallowing, body aches"
Minor Sprain/Strain,"localized pain, muscle stiffness, limited range of motion, swelling"
Dehydration,"dizziness, headache, thirst, dry mouth, fatigue, confusion"
Seasonal Flu,"nausea, high fever, diarrhea, fatigue, sore throat, severe body aches, chills"
Migraine,"nausea, vomiting, severe throbbing headache, sensitivity to light, sensitivity to sound"
Tension Headache,"mild sensitivity to light, scalp tenderness, dull, aching head pain, tightness across forehead"
Bacterial Pneumonia,"chest pain, productive cough, sweating, confusion, shortness of breath, high fever, shaking chills"
Common Cold,"sneezing, watery eyes, sore throat, runny nose, cough, fatigue"
Tension Headache,"shoulder pain, dull, aching head pain, scalp tenderness, tightness across forehead, mild sensitivity to light"
Strep Throat,"rash, headache, sudden sore throat, tiny red spots on roof of mouth, fever"
Strep Throat,"rash, pain when swallowing, body aches, tiny red spots on roof of mouth, fever, stomach ache"
Migraine,"aura, sensitivity to sound, severe throbbing headache, sensitivity to light, vomiting, nausea"
Migraine,"sensitivity to light, sensitivity to sound, nausea, vomiting, neck pain, aura, severe throbbing headache"
Seasonal Flu,"chills, nausea, fatigue, high fever"
Minor Sprain/Strain,"tenderness, localized pain, muscle stiffness, swelling, limited range of motion"
Gastroenteritis,"abdominal cramps, vomiting, diarrhea"
Bacterial Pneumonia,"chest pain, productive cough, sweating, high fever, shortness of breath, shaking chills, confusion"
Seasonal Flu,"nausea, fatigue, severe body aches, headache, sore throat"
Migraine,"nausea, sensitivity to sound, sensitivity to light, severe throbbing headache"
Tension Headache,"dull, aching head pain, tightness across forehead, scalp tenderness, mild sensitivity to light"
Migraine,"sensitivity to light, nausea, severe throbbing headache, sensitivity to sound"
Migraine,"severe throbbing headache, vision changes, sensitivity to sound, neck pain, aura, sensitivity to light"
Bacterial Pneumonia,"high fever, sweating, shaking chills, shortness of breath, productive cough, confusion"
Minor Sprain/Strain,"swelling, tenderness, localized pain, limited range of motion"
Tension Headache,"neck stiffness, shoulder pain, tightness across forehead, scalp tenderness, dull, aching head pain, mild sensitivity to light"
Minor Sprain/Strain,"limited range of motion, localized pain, swelling, tenderness"
Tension Headache,"tightness across forehead, neck stiffness, scalp tenderness, dull, aching head pain"
Migraine,"sensitivity to light, vomiting, severe throbbing headache, neck pain, sensitivity to sound, aura, nausea"
Tension Headache,"mild sensitivity to light, scalp tenderness, dull, aching head pain, neck stiffness, tightness across forehead, shoulder pain"
Minor Sprain/Strain,"cramping, swelling, localized pain, tenderness"
Gastroenteritis,"nausea, abdominal cramps, diarrhea, vomiting"
Minor Sprain/Strain,"limited range of motion, cramping, swelling, localized pain, tenderness"
Gastroenteritis,"abdominal cramps, low-grade fever, fatigue, diarrhea, vomiting, nausea, loss of appetite"
Seasonal Flu,"fatigue, headache, high fever, diarrhea, chills"
Dehydration,"fatigue, dry mouth, headache, confusion, infrequent urination, dizziness"
Seasonal Flu,"nausea, fatigue, cough, headache, high fever, sore throat"
Common Cold,"fatigue, sore throat, cough, runny nose"
Tension Headache,"neck stiffness, scalp tenderness, shoulder pain, dull, aching head pain, mild sensitivity to light, tightness across forehead"
Allergic Rhinitis,"sneezing, nasal congestion, itchy eyes, cough, runny nose"
Gastroenteritis,"headache, vomiting, diarrhea, nausea, abdominal cramps"
Bacterial Pneumonia,"shortness of breath, confusion, high fever, productive cough, sweating, shaking chills, chest pain, nausea"
Gastroenteritis,"vomiting, fatigue, diarrhea, headache, nausea, abdominal cramps"
Dehydration,"confusion, fatigue, dizziness, dry mouth, thirst"
Bacterial Pneumonia,"productive cough, shortness of breath, nausea, high fever, chest pain"
Tension Headache,"scalp tenderness, dull, aching head pain, neck stiffness, shoulder pain, tightness across forehead"
Strep Throat,"tiny red spots on roof of mouth, pain when swallowing, fever, headache, sudden sore throat"
Gastroenteritis,"abdominal cramps, vomiting, diarrhea, nausea"
Seasonal Flu,"fatigue, high fever, nausea, cough, chills"
Dehydration,"thirst, dry mouth, dizziness"
Common Cold,"low fever, fatigue, sore throat, runny nose, sneezing"
Bacterial Pneumonia,"chest pain, high fever, shaking chills, fatigue"
Strep Throat,"tiny red spots on roof of mouth, stomach ache, headache, body aches, sudden sore throat, fever, pain when swallowing"
Dehydration,"dry mouth, fatigue, dizziness, confusion, thirst"
Seasonal Flu,"severe body aches, diarrhea, nausea, high fever, fatigue, sore throat"
Dehydration,"dry mouth, thirst, dizziness"
Gastroenteritis,"headache, abdominal cramps, fatigue, vomiting, nausea"
Migraine,"sensitivity to sound, nausea, sensitivity to light"
Gastroenteritis,"vomiting, diarrhea, headache, low-grade fever, nausea, fatigue"
Bacterial Pneumonia,"fatigue, productive cough, chest pain, shaking chills, sweating, confusion, high fever"
Common Cold,"cough, sore throat, fatigue, runny nose, sneezing"
Tension Headache,"tightness across forehead, shoulder pain, neck stiffness, scalp tenderness, dull, aching head pain"
Dehydration,"thirst, dry mouth, fatigue"
Tension Headache,"dull, aching head pain, scalp tenderness, tightness across forehead"
Gastroenteritis,"vomiting, fatigue, low-grade fever, abdominal cramps, loss of appetite, nausea"
Allergic Rhinitis,"sneezing, mild headache, runny nose, itchy eyes"
Seasonal Flu,"high fever, headache, cough, chills, diarrhea, fatigue, severe body aches"
Tension Headache,"mild sensitivity to light, tightness across forehead, shoulder pain, dull, aching head pain, scalp tenderness"
Seasonal Flu,"severe body aches, sore throat, headache, cough, nausea, fatigue, high fever"
Dehydration,"dry mouth, fatigue, thirst, dizziness, confusion"
Dehydration,"dizziness, dry mouth, thirst"
Tension Headache,"scalp tenderness, tightness across forehead, dull, aching head pain"
Migraine,"vision changes, nausea, sensitivity to sound, severe throbbing headache"
Common Cold,"cough, runny nose, sore throat, sneezing"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain"
Minor Sprain/Strain,"tenderness, muscle stiffness, swelling, limited range of motion, localized pain"
Strep Throat,"sudden sore throat, tiny red spots on roof of mouth, pain when swallowing, stomach ache, fever"
Strep Throat,"tiny red spots on roof of mouth, stomach ache, fever, headache, pain when swallowing, sudden sore throat"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, watery eyes"
Migraine,"nausea, neck pain, sensitivity to light, sensitivity to sound, severe throbbing headache"
Dehydration,"fatigue, thirst, headache, dry mouth"
Migraine,"sensitivity to sound, nausea, sensitivity to light"
Common Cold,"fatigue, low fever, cough, sore throat, sneezing, runny nose"
Migraine,"severe throbbing headache, nausea, sensitivity to sound"
Dehydration,"dizziness, fatigue, thirst, headache, dry mouth"
Common Cold,"sore throat, sneezing, fatigue, cough"
Tension Headache,"scalp tenderness, tightness across forehead, dull, aching head pain"
Migraine,"aura, sensitivity to sound, sensitivity to light, severe throbbing headache, nausea"
Allergic Rhinitis,"cough, itchy eyes, nasal congestion, runny nose, sore throat, watery eyes, sneezing"
Common Cold,"runny nose, sore throat, low fever, mild headache, cough"
Strep Throat,"tiny red spots on roof of mouth, fever, pain when swallowing, headache, rash"
Strep Throat,"tiny red spots on roof of mouth, fever, pain when swallowing, sudden sore throat"
Tension Headache,"mild sensitivity to light, tightness across forehead, scalp tenderness, dull, aching head pain"
Migraine,"nausea, severe throbbing headache, sensitivity to light, sensitivity to sound"
Allergic Rhinitis,"itchy eyes, sneezing, runny nose, watery eyes"
Minor Sprain/Strain,"bruising, muscle stiffness, swelling, localized pain, cramping, tenderness"
Common Cold,"cough, runny nose, sore throat"
Seasonal Flu,"chills, cough, high fever, severe body aches, fatigue, headache"
Allergic Rhinitis,"runny nose, sneezing, watery eyes, itchy eyes"
Tension Headache,"scalp tenderness, shoulder pain, tightness across forehead, dull, aching head pain"
Dehydration,"infrequent urination, thirst, dry mouth, dizziness"
Minor Sprain/Strain,"limited range of motion, swelling, localized pain"
Minor Sprain/Strain,"tenderness, swelling, localized pain, bruising, limited range of motion"
Gastroenteritis,"nausea, fatigue, headache, diarrhea, abdominal cramps"
Tension Headache,"scalp tenderness, tightness across forehead, neck stiffness, dull, aching head pain"
Bacterial Pneumonia,"shaking chills, confusion, productive cough, shortness of breath, chest pain, nausea, high fever"
Dehydration,"dizziness, fatigue, dry mouth, dark urine, thirst"
Migraine,"vomiting, sensitivity to light, nausea, severe throbbing headache"
Minor Sprain/Strain,"localized pain, limited range of motion, tenderness, swelling"
Seasonal Flu,"chills, fatigue, nausea, high fever, sore throat, diarrhea"
Minor Sprain/Strain,"cramping, bruising, tenderness, limited range of motion, muscle stiffness, swelling, localized pain"
Minor Sprain/Strain,"limited range of motion, localized pain, cramping, swelling"
Tension Headache,"scalp tenderness, dull, aching head pain, tightness across forehead"
Bacterial Pneumonia,"confusion, sweating, shaking chills, high fever, chest pain, productive cough, shortness of breath"
Common Cold,"runny nose, low fever, watery eyes, sneezing, fatigue, cough, sore throat"
Tension Headache,"tightness across forehead, dull, aching head pain, scalp tenderness, mild sensitivity to light"
Tension Headache,"neck stiffness, mild sensitivity to light, scalp tenderness, shoulder pain, tightness across forehead, dull, aching head pain"
Minor Sprain/Strain,"cramping, swelling, limited range of motion, localized pain, tenderness"
Tension Headache,"tightness across forehead, dull, aching head pain, scalp tenderness"
Allergic Rhinitis,"sneezing, watery eyes, runny nose, itchy eyes"
Tension Headache,"dull, aching head pain, neck stiffness, tightness across forehead, scalp tenderness, shoulder pain"
Bacterial Pneumonia,"chest pain, confusion, shortness of breath, shaking chills"
Tension Headache,"scalp tenderness, shoulder pain, neck stiffness, tightness across forehead, mild sensitivity to light, dull, aching head pain"
Tension Headache,"scalp tenderness, tightness across forehead, dull, aching head pain, neck stiffness"
Minor Sprain/Strain,"cramping, tenderness, swelling, localized pain"
Migraine,"sensitivity to light, sensitivity to sound, vomiting, nausea, neck pain, severe throbbing headache"
Allergic Rhinitis,"watery eyes, runny nose, itchy eyes"
Gastroenteritis,"loss of appetite, abdominal cramps, nausea, vomiting"
Tension Headache,"scalp tenderness, shoulder pain, neck stiffness, dull, aching head pain, tightness across forehead"
Tension Headache,"tightness across forehead, shoulder pain, scalp tenderness, mild sensitivity to light, neck stiffness, dull, aching head pain"
Tension Headache,"scalp tenderness, tightness across forehead, shoulder pain, neck stiffness, dull, aching head pain"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain"
Seasonal Flu,"high fever, chills, fatigue, severe body aches"
Seasonal Flu,"sore throat, headache, chills, severe body aches, high fever, fatigue"
Common Cold,"mild headache, cough, fatigue, sore throat, low fever, runny nose"
Tension Headache,"scalp tenderness, dull, aching head pain, tightness across forehead"
Common Cold,"cough, runny nose, sneezing"
Gastroenteritis,"vomiting, headache, abdominal cramps, diarrhea, loss of appetite"
Tension Headache,"scalp tenderness, neck stiffness, shoulder pain, tightness across forehead, dull, aching head pain"
Dehydration,"fatigue, dizziness, infrequent urination, dark urine, headache, dry mouth, thirst"
Strep Throat,"tiny red spots on roof of mouth, fever, sudden sore throat, pain when swallowing"
Common Cold,"mild headache, sore throat, sneezing, low fever, runny nose, cough"
Strep Throat,"fever, body aches, sudden sore throat, tiny red spots on roof of mouth"
Seasonal Flu,"chills, high fever, severe body aches"
Migraine,"vomiting, severe throbbing headache, nausea, aura, sensitivity to sound, sensitivity to light"
Migraine,"severe throbbing headache, aura, sensitivity to sound, sensitivity to light, nausea"
Bacterial Pneumonia,"high fever, shortness of breath, confusion, chest pain, productive cough, sweating"
Gastroenteritis,"vomiting, diarrhea, low-grade fever, nausea, fatigue"
Minor Sprain/Strain,"swelling, cramping, localized pain, tenderness, muscle stiffness, bruising"
Gastroenteritis,"abdominal cramps, headache, nausea, diarrhea, vomiting"
Minor Sprain/Strain,"cramping, bruising, limited range of motion, tenderness, muscle stiffness, swelling, localized pain"
Dehydration,"thirst, dark urine, dry mouth, dizziness"
Allergic Rhinitis,"sneezing, runny nose, nasal congestion, watery eyes"
Seasonal Flu,"high fever, cough, diarrhea, chills, severe body aches, fatigue, nausea"
Allergic Rhinitis,"runny nose, itchy eyes, sneezing, watery eyes"
Seasonal Flu,"cough, diarrhea, nausea, chills, headache, high fever"
Strep Throat,"stomach ache, headache, fever, sudden sore throat, tiny red spots on roof of mouth, rash"
Seasonal Flu,"chills, severe body aches, fatigue"
Seasonal Flu,"severe body aches, high fever, nausea, headache, chills, sore throat"
Common Cold,"low fever, sore throat, runny nose, sneezing, cough"
Common Cold,"sneezing, fatigue, mild headache, runny nose, cough"
Migraine,"severe throbbing headache, neck pain, sensitivity to sound, sensitivity to light, nausea"
Dehydration,"dry mouth, thirst, dizziness, fatigue, dark urine, infrequent urination, headache"
Common Cold,"sneezing, cough, sore throat, low fever"
Migraine,"sensitivity to sound, nausea, severe throbbing headache, neck pain"
Minor Sprain/Strain,"swelling, localized pain, limited range of motion, tenderness, muscle stiffness"
Seasonal Flu,"severe body aches, headache, nausea, chills, fatigue, cough"
Migraine,"nausea, severe throbbing headache, sensitivity to sound"
Allergic Rhinitis,"cough, itchy eyes, watery eyes, runny nose, sneezing, mild headache"
Strep Throat,"sudden sore throat, pain when swallowing, tiny red spots on roof of mouth"
Strep Throat,"headache, pain when swallowing, rash, tiny red spots on roof of mouth, sudden sore throat, fever"
Tension Headache,"scalp tenderness, dull, aching head pain, mild sensitivity to light, neck stiffness, tightness across forehead"
Strep Throat,"fever, stomach ache, tiny red spots on roof of mouth, sudden sore throat"
Allergic Rhinitis,"runny nose, itchy eyes, mild headache, sneezing"
Migraine,"nausea, severe throbbing headache, vomiting, aura, sensitivity to light, neck pain"
Bacterial Pneumonia,"high fever, productive cough, shortness of breath, chest pain"
Dehydration,"infrequent urination, dizziness, fatigue, thirst, dry mouth"
Dehydration,"confusion, thirst, dizziness, fatigue"
Gastroenteritis,"diarrhea, headache, vomiting, abdominal cramps, nausea, loss of appetite, low-grade fever"
Minor Sprain/Strain,"tenderness, cramping, limited range of motion, swelling, localized pain"
Allergic Rhinitis,"mild headache, runny nose, nasal congestion, sneezing, sore throat, watery eyes"
Common Cold,"runny nose, sore throat, sneezing"
Minor Sprain/Strain,"tenderness, localized pain, limited range of motion"
Tension Headache,"scalp tenderness, tightness across forehead, shoulder pain, dull, aching head pain"
Dehydration,"fatigue, dizziness, headache, infrequent urination, thirst"
Allergic Rhinitis,"sneezing, itchy eyes, nasal congestion, runny nose, watery eyes"
Allergic Rhinitis,"itchy eyes, cough, sore throat, runny nose, sneezing"
Minor Sprain/Strain,"localized pain, limited range of motion, swelling, muscle stiffness, tenderness"
Seasonal Flu,"high fever, cough, fatigue, diarrhea, severe body aches"
Seasonal Flu,"headache, high fever, fatigue"
Seasonal Flu,"headache, high fever, fatigue, diarrhea, chills, severe body aches"
Bacterial Pneumonia,"productive cough, chest pain, shaking chills, confusion, nausea, shortness of breath"
Migraine,"severe throbbing headache, neck pain, nausea, sensitivity to light"
Seasonal Flu,"cough, fatigue, chills, severe body aches, headache, sore throat"
Seasonal Flu,"diarrhea, sore throat, headache, severe body aches, fatigue"
Bacterial Pneumonia,"nausea, confusion, productive cough, shortness of breath, chest pain, high fever, sweating, shaking chills"
Gastroenteritis,"nausea, abdominal cramps, vomiting, diarrhea"
Strep Throat,"fever, tiny red spots on roof of mouth, stomach ache, pain when swallowing, sudden sore throat"
Minor Sprain/Strain,"limited range of motion, muscle stiffness, localized pain, cramping, bruising, swelling"
Gastroenteritis,"abdominal cramps, diarrhea, vomiting, headache, fatigue"
